"loadcel","timestamp","current_weight_history","remaining_sec_history"
"1","2025-07-10T16:19:33.115783+09:00","136.7139","82.1405"
"1","2025-07-10T16:19:33.864703+09:00","136.6498","81.15749"
"1","2025-07-10T16:19:35.415122+09:00","136.1647","78.86157"
"1","2025-07-10T16:19:36.169600+09:00","136.1739","77.97392"
"1","2025-07-10T16:19:37.660980+09:00","134.8011","75.4594"
"1","2025-07-10T16:19:39.496626+09:00","135.2129","74.90153"
"1","2025-07-10T16:19:40.282356+09:00","134.0277","73.41163"
"1","2025-07-10T16:19:41.754639+09:00","133.8127","71.72106"
"1","2025-07-10T16:19:42.501291+09:00","133.3596","70.71243"
"1","2025-07-10T16:19:43.987093+09:00","132.5451","68.88945"
"1","2025-07-10T16:19:44.748157+09:00","132.3392","68.14181"
"1","2025-07-10T16:19:45.525084+09:00","131.3965","67.02834"
"1","2025-07-10T16:19:47.045123+09:00","131.4834","65.84962"
"1","2025-07-10T16:19:47.830550+09:00","130.6552","64.84251"
"1","2025-07-10T16:19:49.332142+09:00","130.0328","63.37138"
"1","2025-07-10T16:19:50.079329+09:00","129.47","62.54467"
"1","2025-07-10T16:19:50.822056+09:00","129.7491","62.14283"
"1","2025-07-10T16:19:52.345629+09:00","128.4999","60.50528"
"1","2025-07-10T16:19:53.106156+09:00","128.8522","60.17458"
"1","2025-07-10T16:19:54.596911+09:00","127.8958","58.73915"
"1","2025-07-10T16:19:55.337711+09:00","127.3467","58.01559"
"1","2025-07-10T16:19:56.087418+09:00","127.4748","57.60402"
"1","2025-07-10T16:19:57.633974+09:00","126.4544","56.21102"
"1","2025-07-10T16:19:58.386853+09:00","125.9785","55.55465"
"1","2025-07-10T16:19:59.923869+09:00","125.4522","54.45935"
"1","2025-07-10T16:20:00.670231+09:00","125.2188","53.91964"
"1","2025-07-10T16:20:01.425578+09:00","124.8345","53.32951"
"1","2025-07-10T16:20:02.972189+09:00","124.3494","52.44247"
"1","2025-07-10T16:20:03.737014+09:00","121.1691","50.74366"
"1","2025-07-10T16:20:05.279973+09:00","121.5306","50.21484"
"1","2025-07-10T16:20:06.022019+09:00","121.9607","50.0706"
"1","2025-07-10T16:20:06.787876+09:00","122.0202","49.78428"
"1","2025-07-10T16:20:07.585075+09:00","120.8808","49.01069"
"1","2025-07-10T16:20:13.459919+09:00","119.0137","47.61267"
"1","2025-07-10T16:20:14.213384+09:00","118.2861","46.9911"
"1","2025-07-10T16:20:15.713694+09:00","117.3938","46.00033"
"1","2025-07-10T16:20:16.463195+09:00","117.7462","45.83604"
"1","2025-07-10T16:20:18.004770+09:00","115.9524","44.54086"
"1","2025-07-10T16:20:18.780624+09:00","116.172","44.34423"
"1","2025-07-10T16:20:19.562516+09:00","116.4603","44.18346"
"1","2025-07-10T16:20:21.065344+09:00","115.4856","43.26472"
"1","2025-07-10T16:20:21.832220+09:00","115.5497","43.04539"
"1","2025-07-10T16:20:23.375531+09:00","114.1174","42.03626"
"1","2025-07-10T16:20:24.174271+09:00","113.9847","41.75977"
"1","2025-07-10T16:20:24.919172+09:00","113.0328","41.18161"
"1","2025-07-10T16:20:26.434114+09:00","112.74","40.64"
"1","2025-07-10T16:20:27.212731+09:00","111.9529","40.11876"
"1","2025-07-10T16:20:28.714713+09:00","112.0215","39.69324"
"1","2025-07-10T16:20:29.469312+09:00","111.8751","39.42386"
"1","2025-07-10T16:20:30.228190+09:00","111.898","39.22302"
"1","2025-07-10T16:20:31.734169+09:00","111.2757","38.59287"
"1","2025-07-10T16:20:32.488487+09:00","110.4886","38.10954"
"1","2025-07-10T16:20:34.027251+09:00","110.3376","37.67221"
"1","2025-07-10T16:20:34.789514+09:00","109.6649","37.25705"
"1","2025-07-10T16:20:35.544045+09:00","109.3629","36.97423"
"1","2025-07-10T16:20:37.039764+09:00","108.411","36.32484"
"1","2025-07-10T16:20:37.818117+09:00","108.1548","36.08429"
"1","2025-07-10T16:20:39.307476+09:00","107.5507","35.58988"
"1","2025-07-10T16:20:40.063430+09:00","107.5828","35.45474"
"1","2025-07-10T16:20:40.839281+09:00","107.3906","35.2515"
"1","2025-07-10T16:20:42.362568+09:00","105.5922","34.38121"
"1","2025-07-10T16:20:43.126107+09:00","105.6746","34.27464"
"1","2025-07-10T16:20:43.902087+09:00","105.6883","34.14826"
"1","2025-07-10T16:20:45.420324+09:00","104.2057","33.41782"
"1","2025-07-10T16:20:46.172331+09:00","105.1346","33.59269"
"1","2025-07-10T16:20:47.680601+09:00","104.3933","33.10118"
"1","2025-07-10T16:20:48.428699+09:00","103.7984","32.78273"
"1","2025-07-10T16:20:49.945217+09:00","102.7001","32.20402"
"1","2025-07-10T16:20:50.723662+09:00","102.7917","32.12369"
"1","2025-07-10T16:20:51.463900+09:00","102.2151","31.83715"
"1","2025-07-10T16:20:52.970339+09:00","101.7941","31.49546"
"1","2025-07-10T16:20:54.125591+09:00","100.8835","31.118"
"1","2025-07-10T16:20:54.881621+09:00","100.197","30.81446"
"1","2025-07-10T16:20:55.665693+09:00","99.97282","30.65206"
"1","2025-07-10T16:20:57.217072+09:00","99.42827","30.31355"
"1","2025-07-10T16:20:57.996224+09:00","98.88371","30.06422"
"1","2025-07-10T16:20:58.745758+09:00","99.13998","30.06331"
"1","2025-07-10T16:21:00.258200+09:00","97.62531","29.44832"
"1","2025-07-10T16:21:01.000997+09:00","97.35532","29.29408"
"1","2025-07-10T16:21:02.510133+09:00","96.37147","28.83384"
"1","2025-07-10T16:21:03.271163+09:00","96.58196","28.82152"
"1","2025-07-10T16:21:04.811416+09:00","96.22504","28.58404"
"1","2025-07-10T16:21:05.584084+09:00","95.12221","28.18867"
"1","2025-07-10T16:21:06.334485+09:00","95.41965","28.21678"
"1","2025-07-10T16:21:07.842513+09:00","94.81562","27.91427"
"1","2025-07-10T16:21:08.595548+09:00","94.46326","27.7512"
"1","2025-07-10T16:21:10.087418+09:00","93.8638","27.46858"
"1","2025-07-10T16:21:10.879926+09:00","93.35586","27.26741"
"1","2025-07-10T16:21:11.631482+09:00","93.13621","27.15549"
"1","2025-07-10T16:21:13.169729+09:00","92.64657","26.91701"
"1","2025-07-10T16:21:13.923903+09:00","91.88695","26.65414"
"1","2025-07-10T16:21:14.663675+09:00","91.63984","26.53941"
"1","2025-07-10T16:21:16.168679+09:00","90.77039","26.21323"
"1","2025-07-10T16:21:16.951000+09:00","90.90768","26.21895"
"1","2025-07-10T16:21:18.463667+09:00","89.68587","25.80162"
"1","2025-07-10T16:21:19.216525+09:00","89.45707","25.70618"
"1","2025-07-10T16:21:19.990942+09:00","88.8027","25.48621"
"1","2025-07-10T16:21:21.507350+09:00","90.24873","25.86672"
"1","2025-07-10T16:21:22.246950+09:00","90.21669","25.84341"
"1","2025-07-10T16:21:23.782363+09:00","89.67214","25.66573"
"1","2025-07-10T16:21:24.549164+09:00","89.40215","25.58029"
"1","2025-07-10T16:21:25.348921+09:00","88.67915","25.36515"
"1","2025-07-10T16:21:26.853223+09:00","87.87833","25.13075"
"1","2025-07-10T16:21:27.611962+09:00","87.97443","25.16081"
"1","2025-07-10T16:21:29.121768+09:00","87.10956","24.91225"
"1","2025-07-10T16:21:29.885619+09:00","86.87618","24.85278"
"1","2025-07-10T16:21:30.677804+09:00","86.53297","24.71355"
"1","2025-07-10T16:21:32.177921+09:00","86.41857","24.54636"
"1","2025-07-10T16:21:32.931059+09:00","85.82369","24.27464"
"1","2025-07-10T16:21:34.418715+09:00","85.45761","24.01082"
"1","2025-07-10T16:21:35.167915+09:00","85.51252","24.0056"
"1","2025-07-10T16:21:35.942483+09:00","84.52866","23.70323"
"1","2025-07-10T16:21:37.428759+09:00","84.24038","23.59922"
"1","2025-07-10T16:21:38.181039+09:00","82.84469","23.22214"
"1","2025-07-10T16:21:39.675147+09:00","82.51521","23.14807"
